95,CALCA,0,1,0,7,-16.399,-71.5364
96,CANAS,0,1,0,7,-16.399,-71.5364
97,CANCHIS,0,1,0,7,-16.399,-71.5364
98,CHUMBIVILCAS,0,1,0,7,-16.399,-71.5364
99,ESPINAR,0,1,0,7,-16.399,-71.5364
100,"LA CONVENCION",0,1,0,7,-16.399,-71.5364
101,"PARURO	",0,1,0,7,-16.399,-71.5364
102,PAUCARTAMBO,0,1,0,7,-16.399,-71.5364
103,QUISPICANCHI,0,1,0,7,-16.399,-71.5364
104,URUBAMBA,0,1,0,7,-16.399,-71.5364
105,HUANCAVELICA,0,1,0,8,-16.399,-71.5364
106,ACOBAMBA,0,1,0,8,-16.399,-71.5364
107,ANGARAES,0,1,0,8,-16.399,-71.5364
108,CASTROVIRREYNA,0,1,0,8,-16.399,-71.5364
109,CHURCAMPA,0,1,0,8,-16.399,-71.5364
110,HUAYTARA,0,1,0,8,-16.399,-71.5364
111,TAYACAJA,0,1,0,8,-16.399,-71.5364
112,HUANUCO,0,1,0,9,-16.399,-71.5364
113,AMBO,0,1,0,9,-16.399,-71.5364
114,"DOS DE MAYO",0,1,0,9,-16.399,-71.5364
115,HUACAYBAMBA,0,1,0,9,-16.399,-71.5364
116,HUAMALIES,0,1,0,9,-16.399,-71.5364
117,"LEONCIO PRADO",0,1,0,9,-16.399,-71.5364
118,MARAÑON,0,1,0,9,-16.399,-71.5364
119,PACHITEA,0,1,0,9,-16.399,-71.5364
120,"PUERTO INCA",0,1,0,9,-16.399,-71.5364
121,LAURICOCHA,0,1,0,9,-16.399,-71.5364
122,YAROWILCA,0,1,0,9,-16.399,-71.5364
123,ICA,0,1,0,10,-16.399,-71.5364
124,CHINCHA,0,1,0,10,-16.399,-71.5364
125,NAZCA,0,1,0,10,-16.399,-71.5364
126,PALPA,0,1,0,10,-16.399,-71.5364
127,PISCO,0,1,0,10,-16.399,-71.5364
128,HUANCAYO,0,1,0,11,-16.399,-71.5364
129,CONCEPCION,0,1,0,11,-16.399,-71.5364
130,CHANCHAMAYO,0,1,0,11,-16.399,-71.5364
131,JAUJA,0,1,0,11,-16.399,-71.5364
132,JUNIN,0,1,0,11,-16.399,-71.5364
133,SATIPO,0,1,0,11,-16.399,-71.5364
134,TARMA,0,1,0,11,-16.399,-71.5364
135,YAULI,0,1,0,11,-16.399,-71.5364
136,CHUPACA,0,1,0,11,-16.399,-71.5364
137,TRUJILLO,0,1,0,12,-16.399,-71.5364
138,ASCOPE,0,1,0,12,-16.399,-71.5364
139,BOLIVAR,0,1,0,12,-16.399,-71.5364
140,CHEPEN,0,1,0,12,-16.399,-71.5364
141,JULCAN,0,1,0,12,-16.399,-71.5364
142,OTUZCO,0,1,0,12,-16.399,-71.5364
143,PACASMAYO,0,1,0,12,-16.399,-71.5364
144,PATAZ,0,1,0,12,-16.399,-71.5364
145,"SANCHEZ CARRION",0,1,0,12,-16.399,-71.5364
146,"SANTIAGO DE CHUCO",0,1,0,12,-16.399,-71.5364
147,"GRAN CHIMU",0,1,0,12,-16.399,-71.5364
148,VIRU,0,1,0,12,-16.399,-71.5364
149,CHICLAYO,0,1,0,13,-16.399,-71.5364
